Total,5713052.0,,5713057.0,5713063.0,5713158.0,5713329.0,,5772114.0,5713387.0,,,,,,,,5713426.0,,,,,,,,,,,,5713447.0,,,,5713466.0,,,,,
,0.11,0.4572,9.0,0.938,2.0,1.6949999999999998,251.0,91.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0365,4.0,2.0,0.0365,0.05,0.0,2.8830999999999998,0.001969,1.0,2.0,2.0,1.677224,-7.27,-4.73,55.0,0.0,2.0,3.3197,-27.4,137.4
85,0.0,4.0,0.0,6.0,6.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,0.59,0.2781,4.0,0.95,0.0,1.645,144.0,108.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0334,1.0,5.0,0.0334,0.05,0.0,2.755,0.0029,1.0,5.0,2.0,1.653,-14.65,-11.35,28.0,3.0,1.0,4.849,-19.9,75.9
76,4.0,4.0,8.0,0.0,0.0,4.0,5.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,0,0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,3.0,3.0
,0.049,0.4803301,3.0,0.25,0.0,1.695398,153.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0489,5.0,1.0,0.0489,0.05,0.0,2.006,0.04485625,1.0,6.0,2.0,1.414297,-20.426,-15.573,17.0,9.0,1.0,1.8807939999999999,1.7976999999999999,32.2022
75,0.0,4.0,8.0,0.0,7.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,2,2.0,0.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,3.0
,0.69,0.2457,3.0,0.917,4.0,1.645,159.0,110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.67,2.0,2.0,4.67,0.05,0.0,1.1021,.0.8648,0.0,2.0,2.0,2.054,-3.11,-0.9,57.0,8.0,1.0,3.578,-87.6,201.6
72,4.0,4.0,0.0,6.0,0.0,4.0,5.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2.0,2,0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,0.6,0.2751,1.0,0.0,2.0,1.645,283.0,105.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0478,0.0,1.0,0.0478,0.05,0.0,2.4609,0.01386,1.0,6.0,2.0,1.710598,-5.36,-4.64,55.0,3.0,1.0,3.319764,-79.2,189.2
82,4.0,4.0,0.0,0.0,7.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,2.0,0,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,0.69,0.2451,1.0,0.917,1.0,1.103,178.0,101.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0497,4.0,0.0,0.0497,0.05,0.0,2.482,0.0131,1.0,5.0,2.0,1.486,-10.99,-9.01,42.0,6.0,2.0,1.899,3.5,80.5
87,4.0,4.0,8.0,6.0,0.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,0,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,0.0,3.0,3.0
